S. no,Name,Brand,Image,,Country,Sport,Gender,MRP,Sizes,Colours,Amazon Link,Price,Available sizes,Flipkart Link,Price,Available sizes,Myntra Link,Price,Available sizes,Tata Cliq Link,Price,Available sizes,NBA Store Link,Price,Available sizes,Ajio Link,Price,Available sizes,Superkicks Link,Price,Available sizes,Official Website,Price,Available sizes,Foot Type,Foot Width,Injury History,Playing Surface,Playing Style,Playing Position,Shoe Preference,Player Level,Product Analysis Note
9,"BB 4000 II Basketball Shoes For Men (Off White , 8)",REEBOK,,,India,Basketball,Men/Unisex,9999,"6,7,8,9,10,11",off white,https://amzn.to/42KX4fV,4999,"6,7","REEBOK BB 4000 II Basketball Shoes For Men (Off White , 8)",5391,"6,7,8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,NA,NA,Netural,Regular,Basic,Indoor Court ,Agility,Shooting guard,"Lightweight, Cushioned","intermediate , advanced ",
10,Reebok Men's Atr Pump Vertical White Basketball Shoes,REEBOK,,,India,Basketball,Men/Unisex,13999,"7,8,9,10,11",Vertical White,NA,NA,NA,NA,NA,NA,NA,N,NA,https://www.tatacliq.com/reebok-mens-atr-pump-vertical-white-basketball-shoes/p-mp000000021490853,8399,7,NA,NA,NA,NA,NA,NA,NA,,Na,https://reebok.abfrl.in/p/reebok-unisex-atr-pump-vertical-39623057.html,8399,Out Of Stock,Netural,Regular,ankel support ,outdoor,All- Rounder,small forward ,"cushioned, supportive","intermediate , advanced ",
11,Reebok Zig Encore Basketball Shoes,REEBOK,,,India,Basketball,Unisex,8999,"6,7,8,9,10,11",White,NA,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/reebok/reebok-unisex-zig-encore-basketball-shoes/27187458/buy,5933,6,https://www.tatacliq.com/reebok-mens-zig-encore-blue-running-shoes/p-mp000000022820829,5399,6,NA,NA,NA,NA,NA,NA,0,NA,Na,NA ,NA,NA,Netural,Regular,Stability,Indoor Court ,Agility,Point,"Lightweight, Cushioned","intermediate , advanced ",
12,Reebok Men Classic Printed Leather Basketball Shoes (13.5),REEBOK,,,,Basketball,Men/Unisex,7999,"3,4,5,6,7,8,9,10,11,12,13,13.5",White,NA,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/reebok/reebok-men-classic-printed-leather-basketball-shoes/26189014/buy,3999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,NA,NA,Netural,Regular,Impact Protection,Indoor Court,All-Rounder,Hybrid,Lightweight,Beginner,
13,"Reebok Classic
Unisex Perofrated Royal Bb4590 Basketball Shoes",REEBOK,,,India,Basketball,Unisex,6599,"6,7,8,9,10,11,12,13",White,NA,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/reebok+classic/reebok-classic-unisex-perofrated-royal-bb4590-basketball-shoes/21820922/buy,3299,"6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,NA,NA,Neutral,Regular,Prone Athletes,Indoor Court,Speed  Agility,Point,Traction Focused,Intermediate,
14,"ADIDAS
Men Woven Design Ownthegame 3.0 Basketball Shoes",ADIDAS,,,,Basketball,Unisex,6599,"6,7,8,9,10,11,12",White,NA,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-ownthegame-30-basketball-shoes/29884091/buy,3629,8.9.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.superkicks.in/products/adidas-own-the-game-3-cloud-white-core-black?variant=46383770501371&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooeqQvkXIJiboT0sw9mBaLb1t5ui3jqCAkw1Stgdqp8r5HgFr-7xW8,4949,NA,https://www.adidas.co.in/own-the-game-3-shoes/IF4565.html,5279,NA,Neutral,Narrow ,Basic,Multi-Surface,All-Rounder,Point Guard,Lightweight,Beginner,
15,Adidas Men's Entrap White Basketball Shoes,ADIDAS,,,India,Basketball,Men/Unisex,6999,"6,8,9,10,11",White,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.tatacliq.com/adidas-mens-entrap-white-basketball-shoes/p-mp000000021394684,5599,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,Neutral,Narrow, Protection, Indoor Court,"All-Rounder
",Small Forward,Supportive,Beginner,
16,"ADIDAS 
PRO MODEL Basketball Shoes For Men  (White , 6.5)s",ADIDAS,,,India,Basketball,Men/Unisex,9999,"6.5,7,7.5,8,8.5,9,9.5,10,10.5",White,NA,NA,NA,https://www.flipkart.com/adidas-pro-model-basketball-shoes-men/p/itm0ea47315a173a?pid=SHOHYMU7HWENHSNC&lid=LSTSHOHYMU7HWENHSNCYUJED2&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_1&otracker=browse&fm=organic&iid=en_OcsozdcvUN-k0_HrHImWSIE58MaUxzNVUELOkxdiEVBg7GATKylWl6tmBljya4hfiysYu-8W4iEi-A6plhB07b3nN5BP0oUQf7sdSRT1im4%3D&ppt=sp&ppn=productListView&ssid=elr19b8p0w0000001745561419678,4950,"6.5,7,7.5,8.,8.5,9,9.5",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Neutral,Narrow,Ankle Support,Indoor Court,All-Rounder,Small Forward,Supportive,Intermediate,
17,"ADIDAS 
PRO MODEL Basketball Shoes For Men  (Black , 7.5)",ADIDAS,,,India,Basketball,Men/Unisex,9999,"6.5,7,7.5,8,8.5,9,9.5,10",Black,NA,NA,NA,https://www.flipkart.com/adidas-pro-model-basketball-shoes-men/p/itm9c0a5c6d19f0d?pid=SHOHYMU7JBWRFAKY&lid=LSTSHOHYMU7JBWRFAKYDGVFRE&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_2&otracker=browse&fm=organic&iid=en_OcsozdcvUN-k0_HrHImWSIE58MaUxzNVUELOkxdiEVAgRfs5iBquxobj--r0fkmQNmFHSI1lpwTsRvQJGuhQ41nKu_QkFD98oDn_xgTUm2M%3D&ppt=sp&ppn=productListView,4950,"6.5,7,7.5,8.,8.5,9",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Neutral,Narrow,Ankle Support,Indoor Court,All-Rounder,Power Forward,Traction-Focused,Intermediate,
18,"ADIDAS 
Court Glide M Basketball Shoes For Men  (Blue , 10)",ADIDAS,,,India,Basketball,Men/Unisex,4999,"6,7,8,9,10,11,12",Black,NA,NA,NA,https://www.flipkart.com/adidas-court-glide-m-basketball-shoes-men/p/itme815c57fc5622?pid=SHOG9XNXRC9ZUWHC&lid=LSTSHOG9XNXRC9ZUWHCB22RCE&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_3&otracker=browse&fm=organic&iid=ec65eb4d-8a5c-4557-871c-68adbb65e6e6.SHOG9XNXRC9ZUWHC.SEARCH&ppt=sp&ppn=productListView,2449,"6,7,8,9,10",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Neutral,Narrow,Prone Athletes,Indoor Court,All-Rounder,Small Forward,Supportive,Beginner,
19,"ADIDAS 
Crazy Iiinfinity Basketball Shoes For Men  (Silver , 4)",ADIDAS,,,India,Basketball,Men/Unisex,14999,"4,5",Silver,NA,NA,NA,https://www.flipkart.com/adidas-crazy-iiinfinity-basketball-shoes-men/p/itmfe1681b4e0308?pid=SHOH2KY6SKWZFDE3&lid=LSTSHOH2KY6SKWZFDE355LAEQ&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_6&otracker=browse&fm=organic&iid=ec65eb4d-8a5c-4557-871c-68adbb65e6e6.SHOH2KY6SKWZFDE3.SEARCH&ppt=sp&ppn=productListView,7500,"4,5",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Neutral,Regular,Impact Protection,Multi-Surface,Power-Based,Power Forward,Traction-Focused,Advanced,
